# test_for_audio_implicit_full — FULL-RES (256x512) results

Radial depth, scene_split (72/9/9), loaded from actual files at 256x512 (no 64x128 downsampling). cos-lat weighted metrics. seed = mean ± std.

**Progress: 340/351 trained runs evaluated (of 93 total jobs).**

| model (seed-grouped) | n | test MAE ↓ | MAE_plain | (64×128 plain) | MAE_low | δ<1.25 ↑ | shuffle MAE | mirror_better |
| C_raydpt_noray | 1 | 0.9095 | 0.7665 | — | 0.8710 | 0.439 | — | 0.264 |
| E_echo_bin | 1 | 0.9095 | 0.7613 | — | 0.8714 | 0.452 | — | 0.283 |
| Q_rd_rel05 | 1 | 0.9096 | 0.7656 | — | 0.8720 | 0.445 | — | 0.256 |
| C_raydptlite_5chflip | 3 | 0.9097 ± 0.0040 | 0.7654 ± 0.0035 | — | 0.8712 ± 0.0039 | 0.450 ± 0.004 | 1.1425 ± 0.0056 | 0.255 ± 0.003 |
| Q_rd_rel10_xl3 | 1 | 0.9098 | 0.7655 | — | 0.8727 | 0.450 | — | 0.259 |
| Q_rd_rel10_wcl05 | 1 | 0.9098 | 0.7685 | — | 0.8730 | 0.445 | — | 0.265 |
| Q_rd_rel10_chamfer | 1 | 0.9100 | 0.7656 | — | 0.8716 | 0.441 | — | 0.264 |
| Q2_noray_rel10silog25 | 1 | 0.9101 | 0.7675 | — | 0.8718 | 0.428 | — | 0.257 |
| C_raydpt_lsaplanar | 1 | 0.9102 | 0.7663 | — | 0.8722 | 0.450 | — | 0.255 |
| E_echo_unet | 3 | 0.9103 ± 0.0064 | 0.7611 ± 0.0048 | — | 0.8726 ± 0.0065 | 0.443 ± 0.005 | — | 0.302 ± 0.013 |
| Q_rd_rel10silog25 | 1 | 0.9108 | 0.7675 | — | 0.8728 | 0.430 | — | 0.266 |
| Bnode2_cross_5chflip | 3 | 0.9108 ± 0.0026 | 0.7678 ± 0.0032 | — | 0.8723 ± 0.0025 | 0.444 ± 0.003 | 1.1438 ± 0.0004 | 0.250 ± 0.003 |
| Q2_unet_silog5 | 1 | 0.9109 | 0.7649 | — | 0.8724 | 0.437 | — | 0.270 |
| Bnode2_cross_unetenc5 | 3 | 0.9109 ± 0.0019 | 0.7660 ± 0.0021 | — | 0.8727 ± 0.0019 | 0.445 ± 0.003 | 1.1407 ± 0.0061 | 0.253 ± 0.005 |
| Q_rd_rel10_lr3e4 | 1 | 0.9110 | 0.7700 | — | 0.8741 | 0.446 | — | 0.253 |
| C_raydpt_5chflip | 3 | 0.9110 ± 0.0032 | 0.7653 ± 0.0022 | — | 0.8723 ± 0.0030 | 0.444 ± 0.001 | 1.1263 ± 0.0029 | 0.267 ± 0.006 |
| Q_rd_rel15 | 1 | 0.9111 | 0.7677 | — | 0.8747 | 0.452 | — | 0.261 |
| Q_rd_rel10silog5 | 1 | 0.9112 | 0.7667 | — | 0.8726 | 0.430 | — | 0.266 |
| Q2_rdlite_silog25 | 1 | 0.9113 | 0.7659 | — | 0.8722 | 0.436 | — | 0.265 |
| Q_rd_silog5 | 1 | 0.9117 | 0.7656 | — | 0.8720 | 0.425 | — | 0.269 |
| Q14_gamma_n10 | 1 | 0.9119 | 0.7654 | — | 0.8762 | 0.454 | — | 0.259 |
| B_cross_nolog | 1 | 0.9122 | 0.7682 | — | 0.8741 | 0.436 | 1.1281 | 0.244 |
| C_raydpt_msf | 1 | 0.9123 | 0.7688 | — | 0.8743 | 0.448 | — | 0.256 |
| B_unet8nolog | 3 | 0.9124 ± 0.0041 | 0.7637 ± 0.0029 | — | 0.8741 ± 0.0044 | 0.448 ± 0.003 | 1.1290 ± 0.0114 | 0.292 ± 0.006 |
| Bnode2_unet8nolog | 3 | 0.9125 ± 0.0052 | 0.7628 ± 0.0033 | — | 0.8746 ± 0.0054 | 0.445 ± 0.002 | 1.1301 ± 0.0130 | 0.288 ± 0.005 |
